Restaurant Name,Google Score,Number of Reviews,Municipality,Address,Lat/Long,Specialty Cuisine
"Restaurante ""La Caleta""",4.5,778,Quinta Normal,"Alcérreca 1390, Quinta Normal, Región Metropolitana, Chile","-33.4342822, -70.69116540000002","establishment, food, point_of_interest, restaurant"
Chama's Quinta Normal,4.5,380,Quinta Normal,"Carmen Lidia 5251, 8520011 Quinta Normal, Región Metropolitana, Chile","-33.4110685, -70.7101711","establishment, food, point_of_interest, restaurant"
Bar Entretiempo,4.6,538,Quinta Normal,"Av. Carrascal 4598, Quinta Normal, Región Metropolitana, Chile","-33.422034, -70.69734869999999","bar, establishment, food, point_of_interest, restaurant"
Restaurant El Meson Nerudiano,4.6,1521,Recoleta,"Domínica 35, 8420339 Recoleta, Región Metropolitana, Chile","-33.4300664, -70.6366591","establishment, food, point_of_interest, restaurant"
Don Gaviota El Clásico,4.5,3100,Recoleta,"El Roble 1190, 8431502 Recoleta, Santiago, Región Metropolitana, Chile","-33.4018898, -70.6577301","establishment, food, point_of_interest, restaurant"
Secretos a Bordo,4.5,2318,Recoleta,"Muñoz Gamero 894, Recoleta, Región Metropolitana, Chile","-33.4003719, -70.64915839999999","establishment, food, point_of_interest, restaurant"
Korean Restaurant Sukine,4.5,2633,Recoleta,"Antonia López de Bello 244, 8420469 Recoleta, Región Metropolitana, Chile","-33.4317713, -70.6432426","establishment, food, point_of_interest, restaurant"
Restaurante Maranatha,4.5,384,Recoleta,"Las Torres 3268, 8440660 Recoleta, Región Metropolitana, Chile","-33.3973764, -70.6266205","establishment, food, point_of_interest, restaurant"
Restaurant Seoul,4.6,1220,Recoleta,"Sagrado Corazón 371, 8420391 Recoleta, Región Metropolitana, Chile","-33.4290742, -70.6435961","establishment, food, point_of_interest, restaurant"
Restaurante HANURI,4.7,530,Recoleta,"Sta. Filomena 170, 8420430 Santiago, Recoleta, Región Metropolitana, Chile","-33.4303937, -70.6408026","establishment, food, point_of_interest, restaurant"
La Bodeguilla de Cristóbal,4.5,435,Recoleta,"Domínica 5, Santiago, Recoleta, Región Metropolitana, Chile","-33.4303341, -70.6364641","establishment, food, point_of_interest, restaurant"
🪬 Horus Vegan,4.8,567,Recoleta,"Dardignac 68, 8420521 Recoleta, Región Metropolitana, Chile","-33.4335864, -70.6378442","establishment, food, point_of_interest, restaurant"
Misoya,4.6,1465,Recoleta,"Sta. Filomena 348, 8420414 Recoleta, Región Metropolitana, Chile","-33.4301941, -70.6436374","establishment, food, point_of_interest, restaurant"
Dae Jang Kum Restaurante,4.6,1709,Recoleta,"Bombero Núñez 174, Recoleta, Región Metropolitana, Chile","-33.4321632, -70.64003749999999","establishment, food, point_of_interest, restaurant"
La Pica Del Pescado Frito Renca,4.5,386,Renca,"Av. Jorge Hirmas 2778, 8641145 Santiago, Renca, Región Metropolitana, Chile","-33.4180737, -70.6837484","establishment, food, point_of_interest, restaurant"
Restaurant he wo,4.5,637,Renca,"Av. Domingo Sta. María 3685, 8640704 Renca, Región Metropolitana, Chile","-33.4079218, -70.6960418","establishment, food, point_of_interest, restaurant"
COSTAS DE MÀNCORA SAN JOAQUÍN CHILE,4.7,445,San Joaquín,"Av. Vicuña Mackenna 5343, 8940833 San Joaquín, Región Metropolitana, Chile","-33.5055235, -70.6148475","establishment, food, point_of_interest, restaurant"
Sangucheria tio Cucho,4.6,1167,San Joaquín,"Pje. Benozzo Gozzoli 5543-5545, 8960497 San Joaquín, Región Metropolitana, Chile","-33.5080557, -70.62882189999999","establishment, food, point_of_interest, restaurant"
Restaurante Okita,4.5,2373,San Miguel,"Av. La Marina 1190, 8920059 San Miguel, Región Metropolitana, Chile","-33.4978415, -70.6552699","bar, establishment, food, point_of_interest, restaurant"
Magic Restaurant,4.5,429,San Miguel,"Av. Departamental 1219, 8920203 San Miguel, Región Metropolitana, Chile","-33.5025584, -70.6572996","establishment, food, point_of_interest, restaurant"
Bar Avenida,4.8,404,San Miguel,"Gran Av. José Miguel Carrera 4308, 8900000 San Miguel, Región Metropolitana, Chile","-33.4935073, -70.6517333","bar, establishment, food, point_of_interest, restaurant"
Pub Los Amigos,4.5,4065,San Miguel,"Gran Av. José Miguel Carrera 5963, San Miguel, Región Metropolitana, Chile","-33.5093492, -70.65690049999999","bar, establishment, food, point_of_interest, restaurant"
DOÑA DORIS RESTAURANT - (ex Restaurant Marcelino),4.5,487,San Miguel,"San Ignacio de Loyola 2627, 8910001 San Miguel, Región Metropolitana, Chile","-33.4779118, -70.65401709999999","establishment, food, point_of_interest, restaurant"
